venue,batting_team,bowling_team,innings,score
Dubai International Cricket Stadium,Mumbai Indians,Delhi Capitals,1,63
Sheikh Zayed Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,1,32
Sheikh Zayed Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,2,48
Sheikh Zayed Stadium,Delhi Capitals,Sunrisers Hyderabad,1,64
Sheikh Zayed Stadium,Sunrisers Hyderabad,Delhi Capitals,2,49
Dubai International Cricket Stadium,Delhi Capitals,Mumbai Indians,1,41
Dubai International Cricket Stadium,Mumbai Indians,Delhi Capitals,2,61
"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Royal Challengers Bangalore,1,41
"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,Mumbai Indians,2,46
"Wankhede Stadium, Mumbai",Chennai Super Kings,Delhi Capitals,1,33
"Wankhede Stadium, Mumbai",Delhi Capitals,Chennai Super Kings,2,65
"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,Sunrisers Hyderabad,1,50
"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,Kolkata Knight Riders,2,35
